channel,energy_ev,abacus_minus_cohp,lobster_minus_pcohp,lobster_scaled_minus_pcohp
Pt-C_total,-0.880080,-5.8009453472e-03,-1.7396307800e-01,-4.3004059237e-03
Pt-C_total,-0.830080,-6.5666103824e-03,-1.9935379888e-01,-4.9280701831e-03
Pt-C_total,-0.780080,-7.1881843210e-03,-2.2217549970e-01,-5.4922276958e-03
Pt-C_total,-0.730080,-7.6402279938e-03,-2.3825660882e-01,-5.8897562846e-03
Pt-C_total,-0.680080,-7.9182388591e-03,-2.4455917797e-01,-6.0455571939e-03
Pt-C_total,-0.630080,-8.0399353632e-03,-2.4080685218e-01,-5.9527988670e-03
Pt-C_total,-0.580080,-8.0420024117e-03,-2.3026097765e-01,-5.6921025065e-03
Pt-C_total,-0.530080,-7.9732401700e-03,-2.1891074806e-01,-5.4115223100e-03
Pt-C_total,-0.480080,-7.8861327575e-03,-2.1335397047e-01,-5.2741575340e-03
Pt-C_total,-0.430080,-7.8292156034e-03,-2.1832669060e-01,-5.3970842801e-03
Pt-C_total,-0.380080,-7.8420119204e-03,-2.3499859537e-01,-5.8092174686e-03
Pt-C_total,-0.330080,-7.9529196891e-03,-2.6092348693e-01,-6.4500865458e-03
Pt-C_total,-0.280080,-8.1789487923e-03,-2.9192282123e-01,-7.2163969742e-03
Pt-C_total,-0.230080,-8.5255356862e-03,-3.2506465589e-01,-8.0356704877e-03
Pt-C_total,-0.180080,-8.9853527846e-03,-3.6073130487e-01,-8.9173579715e-03
Pt-C_total,-0.130080,-9.5367666929e-03,-4.0213144823e-01,-9.9407787101e-03
Pt-C_total,-0.080080,-1.0144181308e-02,-4.5230253192e-01,-1.1181019041e-02
Pt-C_total,-0.030080,-1.0762533281e-02,-5.1058552962e-01,-1.2621787689e-02
Pt-C_total,0.019920,-1.1346176619e-02,-5.7127603830e-01,-1.4122070542e-02
Pt-C_total,0.069920,-1.1859340790e-02,-6.2561887670e-01,-1.5465437576e-02
Pt-C_total,0.119920,-1.2283443467e-02,-6.6576343307e-01,-1.6457819926e-02
Pt-C_total,0.169920,-1.2617639740e-02,-6.8810665603e-01,-1.7010149359e-02
Pt-C_total,0.219920,-1.2873099222e-02,-6.9376772990e-01,-1.7150092363e-02
Pt-C_total,0.269920,-1.3066347107e-02,-6.8619393256e-01,-1.6962866410e-02
Pt-C_total,0.319920,-1.3219217550e-02,-6.6814843806e-01,-1.6516777779e-02
Pt-C_total,0.369920,-1.3370235385e-02,-6.4033162011e-01,-1.5829139861e-02
Pt-C_total,0.419920,-1.3595025912e-02,-6.0218767405e-01,-1.4886213043e-02
