# Energy(eV) minus_pCOHP_up minus_pCOHP_down minus_pCOHP_sum
-4.661649999999999849e+00 -3.070000000000000159e-02 -3.513999999999999763e-02 -6.583999999999999575e-02
-4.611530000000000129e+00 -3.132000000000000062e-02 -3.287999999999999950e-02 -6.420000000000000706e-02
-4.561399999999999899e+00 -3.298000000000000237e-02 -2.961000000000000090e-02 -6.259000000000000674e-02
-4.511280000000000179e+00 -3.599999999999999728e-02 -2.640999999999999945e-02 -6.240999999999999326e-02
-4.461149999999999949e+00 -4.064999999999999863e-02 -2.432000000000000134e-02 -6.496999999999999997e-02
-4.411030000000000229e+00 -4.689000000000000112e-02 -2.401999999999999968e-02 -7.091000000000000081e-02
-4.360899999999999999e+00 -5.405999999999999694e-02 -2.585000000000000145e-02 -7.990999999999999492e-02
-4.310780000000000278e+00 -6.076000000000000151e-02 -3.000999999999999848e-02 -9.077000000000000346e-02
-4.260650000000000048e+00 -6.537999999999999368e-02 -3.665999999999999814e-02 -1.020399999999999918e-01
-4.210530000000000328e+00 -6.696000000000000563e-02 -4.567999999999999838e-02 -1.126400000000000040e-01
-4.160400000000000098e+00 -6.585000000000000575e-02 -5.621000000000000302e-02 -1.220600000000000018e-01
-4.110280000000000378e+00 -6.360999999999999988e-02 -6.643999999999999906e-02 -1.300499999999999989e-01
-4.060150000000000148e+00 -6.226999999999999896e-02 -7.413999999999999757e-02 -1.364100000000000035e-01
-4.010030000000000427e+00 -6.360000000000000375e-02 -7.761999999999999456e-02 -1.412200000000000122e-01
-3.959900000000000198e+00 -6.873999999999999555e-02 -7.673000000000000653e-02 -1.454699999999999882e-01
-3.909769999999999968e+00 -7.809000000000000663e-02 -7.295999999999999708e-02 -1.510500000000000176e-01
-3.859649999999999803e+00 -9.117000000000000104e-02 -6.877999999999999392e-02 -1.599499999999999811e-01
-3.809520000000000017e+00 -1.064999999999999974e-01 -6.644999999999999518e-02 -1.729499999999999926e-01
-3.759399999999999853e+00 -1.217000000000000026e-01 -6.703000000000000624e-02 -1.887300000000000089e-01
-3.709270000000000067e+00 -1.341799999999999937e-01 -7.022000000000000464e-02 -2.043999999999999984e-01
-3.659149999999999903e+00 -1.421499999999999986e-01 -7.482999999999999374e-02 -2.169800000000000062e-01
-3.609020000000000117e+00 -1.453599999999999892e-01 -7.989000000000000268e-02 -2.252500000000000058e-01
-3.558899999999999952e+00 -1.447599999999999998e-01 -8.537000000000000144e-02 -2.301300000000000012e-01
-3.508770000000000167e+00 -1.413800000000000057e-01 -9.214999999999999580e-02 -2.335300000000000153e-01
-3.458650000000000002e+00 -1.352099999999999969e-01 -1.010899999999999993e-01 -2.363000000000000100e-01
-3.408520000000000216e+00 -1.252900000000000125e-01 -1.119300000000000017e-01 -2.372200000000000142e-01
-3.358400000000000052e+00 -1.108100000000000057e-01 -1.231700000000000017e-01 -2.339800000000000213e-01
-3.308269999999999822e+00 -9.236999999999999378e-02 -1.327800000000000091e-01 -2.251500000000000168e-01
-3.258150000000000102e+00 -7.231999999999999540e-02 -1.393899999999999861e-01 -2.117099999999999815e-01
-3.208019999999999872e+00 -5.392999999999999877e-02 -1.427499999999999880e-01 -1.966799999999999937e-01
-3.157890000000000086e+00 -4.005000000000000226e-02 -1.430700000000000027e-01 -1.831200000000000050e-01
-3.107769999999999921e+00 -3.180000000000000188e-02 -1.400000000000000133e-01 -1.718000000000000083e-01
-3.057640000000000136e+00 -2.821999999999999856e-02 -1.321599999999999997e-01 -1.603799999999999948e-01
-3.007519999999999971e+00 -2.674999999999999947e-02 -1.177399999999999974e-01 -1.444900000000000073e-01
-2.957390000000000185e+00 -2.438999999999999849e-02 -9.563000000000000667e-02 -1.200200000000000017e-01
-2.907270000000000021e+00 -1.881999999999999992e-02 -6.615999999999999659e-02 -8.497999999999999998e-02
-2.857139999999999791e+00 -9.029999999999999832e-03 -3.099999999999999978e-02 -4.002999999999999614e-02
-2.807020000000000071e+00 4.899999999999999842e-03 7.340000000000000170e-03 1.224000000000000088e-02
-2.756889999999999841e+00 2.225999999999999854e-02 4.569999999999999757e-02 6.795999999999999264e-02
-2.706770000000000120e+00 4.240000000000000019e-02 8.028000000000000413e-02 1.226800000000000113e-01
-2.656639999999999890e+00 6.511999999999999733e-02 1.071499999999999952e-01 1.722699999999999787e-01
-2.606520000000000170e+00 9.056999999999999773e-02 1.237199999999999966e-01 2.142899999999999805e-01
-2.556389999999999940e+00 1.185299999999999965e-01 1.305900000000000116e-01 2.491200000000000081e-01
-2.506270000000000220e+00 1.472799999999999943e-01 1.321499999999999897e-01 2.794299999999999562e-01
-2.456139999999999990e+00 1.728600000000000136e-01 1.348199999999999954e-01 3.076800000000000090e-01
-2.406019999999999825e+00 1.895999999999999908e-01 1.440299999999999914e-01 3.336299999999999821e-01
-2.355890000000000040e+00 1.920999999999999930e-01 1.616700000000000081e-01 3.537700000000000289e-01
-2.305759999999999810e+00 1.780299999999999938e-01 1.856299999999999895e-01 3.636599999999999833e-01
-2.255640000000000089e+00 1.499900000000000122e-01 2.112499999999999933e-01 3.612400000000000055e-01
-2.205509999999999859e+00 1.152299999999999991e-01 2.335000000000000131e-01 3.487299999999999844e-01
-2.155390000000000139e+00 8.301999999999999658e-02 2.483899999999999997e-01 3.314099999999999824e-01
-2.105259999999999909e+00 6.117999999999999827e-02 2.533699999999999841e-01 3.145499999999999963e-01
-2.055140000000000189e+00 5.347999999999999976e-02 2.470900000000000041e-01 3.005700000000000038e-01
-2.005009999999999959e+00 5.915000000000000119e-02 2.291799999999999948e-01 2.883299999999999752e-01
-1.954890000000000017e+00 7.427999999999999881e-02 2.004599999999999993e-01 2.747399999999999842e-01
-1.904760000000000009e+00 9.375999999999999612e-02 1.631299999999999972e-01 2.568900000000000072e-01
-1.854640000000000066e+00 1.127500000000000030e-01 1.205900000000000027e-01 2.333399999999999919e-01
-1.804510000000000058e+00 1.271700000000000053e-01 7.659000000000000530e-02 2.037599999999999967e-01
-1.754389999999999894e+00 1.339599999999999957e-01 3.414999999999999980e-02 1.681099999999999817e-01
-1.704260000000000108e+00 1.315500000000000003e-01 -4.980000000000000052e-03 1.265699999999999881e-01
-1.654139999999999944e+00 1.207099999999999979e-01 -4.003000000000000308e-02 8.068000000000000171e-02
-1.604009999999999936e+00 1.045500000000000040e-01 -7.022000000000000464e-02 3.432999999999999940e-02
-1.553879999999999928e+00 8.727999999999999647e-02 -9.400000000000000022e-02 -6.720000000000003748e-03
-1.503759999999999986e+00 7.216000000000000192e-02 -1.092499999999999999e-01 -3.708999999999999797e-02
-1.453629999999999978e+00 6.013999999999999901e-02 -1.142999999999999988e-01 -5.415999999999999981e-02
-1.403510000000000035e+00 5.027000000000000218e-02 -1.090399999999999980e-01 -5.876999999999999585e-02
-1.353380000000000027e+00 4.132999999999999868e-02 -9.511000000000000010e-02 -5.378000000000000141e-02
-1.303260000000000085e+00 3.295000000000000012e-02 -7.521999999999999520e-02 -4.226999999999999508e-02
-1.253130000000000077e+00 2.546999999999999958e-02 -5.245999999999999969e-02 -2.699000000000000010e-02
-1.203009999999999913e+00 1.870000000000000134e-02 -2.999999999999999889e-02 -1.129999999999999755e-02
-1.152879999999999905e+00 1.119999999999999989e-02 -1.089000000000000037e-02 3.099999999999995121e-04
-1.102759999999999962e+00 7.799999999999999859e-04 2.550000000000000183e-03 3.330000000000000061e-03
-1.052629999999999955e+00 -1.426000000000000011e-02 9.509999999999999357e-03 -4.750000000000000749e-03
-1.002510000000000012e+00 -3.416999999999999899e-02 1.098999999999999977e-02 -2.317999999999999922e-02
-9.523800000000000043e-01 -5.763999999999999679e-02 9.069999999999999937e-03 -4.856999999999999512e-02
-9.022599999999999509e-01 -8.229000000000000203e-02 5.649999999999999641e-03 -7.663999999999999979e-02
-8.521300000000000541e-01 -1.051600000000000035e-01 1.410000000000000012e-03 -1.037500000000000089e-01
-8.020100000000000007e-01 -1.234600000000000003e-01 -4.259999999999999898e-03 -1.277200000000000002e-01
-7.518799999999999928e-01 -1.355699999999999961e-01 -1.250000000000000069e-02 -1.480700000000000072e-01
-7.017499999999999849e-01 -1.420800000000000118e-01 -2.393999999999999947e-02 -1.660200000000000009e-01
-6.516300000000000425e-01 -1.461999999999999966e-01 -3.808000000000000274e-02 -1.842799999999999994e-01
-6.015000000000000346e-01 -1.528400000000000036e-01 -5.342000000000000220e-02 -2.062599999999999989e-01
-5.513799999999999812e-01 -1.665500000000000036e-01 -6.809999999999999387e-02 -2.346499999999999975e-01
-5.012499999999999734e-01 -1.891200000000000103e-01 -8.064999999999999947e-02 -2.697700000000000098e-01
-4.511299999999999755e-01 -2.181800000000000128e-01 -9.039999999999999425e-02 -3.085800000000000209e-01
-4.010000000000000231e-01 -2.477999999999999925e-01 -9.754000000000000170e-02 -3.453399999999999803e-01
-3.508800000000000252e-01 -2.707600000000000007e-01 -1.030299999999999966e-01 -3.737900000000000111e-01
-3.007500000000000173e-01 -2.814900000000000180e-01 -1.082100000000000006e-01 -3.897000000000000464e-01
-2.506300000000000194e-01 -2.783300000000000218e-01 -1.143900000000000056e-01 -3.927200000000000135e-01
-2.005000000000000115e-01 -2.644799999999999929e-01 -1.223400000000000043e-01 -3.868199999999999972e-01
-1.503800000000000137e-01 -2.473100000000000021e-01 -1.320099999999999885e-01 -3.793199999999999905e-01
-1.002500000000000058e-01 -2.356800000000000006e-01 -1.426499999999999990e-01 -3.783299999999999996e-01
-5.013000000000000095e-02 -2.357599999999999973e-01 -1.536200000000000065e-01 -3.893800000000000039e-01
0.000000000000000000e+00 -2.470999999999999863e-01 -1.651799999999999935e-01 -4.122799999999999798e-01
5.013000000000000095e-02 -2.618400000000000172e-01 -1.786600000000000132e-01 -4.405000000000000027e-01
1.002500000000000058e-01 -2.684900000000000064e-01 -1.954100000000000004e-01 -4.638999999999999790e-01
1.503800000000000137e-01 -2.585299999999999820e-01 -2.151599999999999902e-01 -4.736899999999999444e-01
2.005000000000000115e-01 -2.314599999999999991e-01 -2.348999999999999977e-01 -4.663599999999999968e-01
2.506300000000000194e-01 -1.951100000000000056e-01 -2.495799999999999963e-01 -4.446900000000000297e-01
3.007500000000000173e-01 -1.613100000000000089e-01 -2.546700000000000075e-01 -4.159800000000000164e-01
3.508800000000000252e-01 -1.402899999999999980e-01 -2.492999999999999938e-01 -3.895899999999999919e-01
4.010000000000000231e-01 -1.372299999999999909e-01 -2.377100000000000046e-01 -3.749399999999999955e-01
4.511299999999999755e-01 -1.517499999999999960e-01 -2.277599999999999902e-01 -3.795100000000000140e-01
5.012499999999999734e-01 -1.790599999999999969e-01 -2.266199999999999881e-01 -4.056799999999999851e-01
5.513799999999999812e-01 -2.116099999999999925e-01 -2.362200000000000133e-01 -4.478300000000000058e-01
6.015000000000000346e-01 -2.411399999999999932e-01 -2.515299999999999758e-01 -4.926699999999999413e-01
6.516300000000000425e-01 -2.616999999999999882e-01 -2.632999999999999785e-01 -5.249999999999999112e-01
7.017499999999999849e-01 -2.727200000000000180e-01 -2.639299999999999979e-01 -5.366500000000000714e-01
7.518799999999999928e-01 -2.798700000000000077e-01 -2.526700000000000057e-01 -5.325400000000000134e-01
8.020100000000000007e-01 -2.920800000000000063e-01 -2.363899999999999890e-01 -5.284699999999999953e-01
8.521300000000000541e-01 -3.155399999999999872e-01 -2.254400000000000015e-01 -5.409800000000000164e-01
9.022599999999999509e-01 -3.484800000000000120e-01 -2.272299999999999875e-01 -5.757099999999999440e-01
9.523800000000000043e-01 -3.805499999999999994e-01 -2.419000000000000039e-01 -6.224499999999999478e-01
1.002510000000000012e+00 -3.978200000000000069e-01 -2.625700000000000256e-01 -6.603900000000000325e-01
1.052629999999999955e+00 -3.905600000000000183e-01 -2.802100000000000146e-01 -6.707700000000000884e-01
1.102759999999999962e+00 -3.588799999999999768e-01 -2.897399999999999975e-01 -6.486199999999999743e-01
1.152879999999999905e+00 -3.126200000000000090e-01 -2.933999999999999941e-01 -6.060200000000000031e-01
1.203009999999999913e+00 -2.661399999999999877e-01 -2.990800000000000125e-01 -5.652200000000000557e-01
1.253130000000000077e+00 -2.319900000000000018e-01 -3.146399999999999753e-01 -5.466299999999999493e-01
1.303260000000000085e+00 -2.170799999999999952e-01 -3.417999999999999927e-01 -5.588800000000000434e-01
1.353380000000000027e+00 -2.221299999999999941e-01 -3.739100000000000201e-01 -5.960400000000000142e-01
1.403510000000000035e+00 -2.425299999999999956e-01 -3.993700000000000028e-01 -6.419000000000000261e-01
1.453629999999999978e+00 -2.696500000000000008e-01 -4.086899999999999977e-01 -6.783399999999999430e-01
1.503759999999999986e+00 -2.931799999999999962e-01 -4.004400000000000182e-01 -6.936200000000000143e-01
1.553879999999999928e+00 -3.050100000000000033e-01 -3.815100000000000158e-01 -6.865200000000000191e-01
1.604009999999999936e+00 -3.032900000000000040e-01 -3.616199999999999970e-01 -6.649100000000000010e-01
